01		Rodentologist	This bonus card's condition is ``Birds that eat [rodent]'', not ``Birds that only eat [rodent]'', and its clarification text is, ``Any bird with a [rodent] symbol. The bird may also eat other kinds of food." (These misprints were corrected in the third printing, and a corrected card is available in the update pack.)	Card update pack.
20201010		Eastern Rosella	This bird counts toward the \textbf{Photographer} bonus card.	https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/
20201010		Emu	When using this bird's power, you must gain all [seed] available in the birdfeeder, since some of it may be allocated to other players.	https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/
20201010		Southern Cassowary	When using this bird's power to discard another bird from your mat, all food cached on that bird, [egg] laid on that bird, and [card] tucked under that bird are discarded.	https://www.facebook.com/groups/wingspanboardgame/permalink/649739262396346/
20201011		Long-Tailed Tit	When scoring the Site Selection Expert bonus card, this bird's [star] nest can count as different nest types in the two columns in which it was played.	https://www.boardgamegeek.com/thread/2519302/article/36010930#36010930
20201011		Site Selection Expert	When scoring this bonus card, birds played sideways can count toward a nest type in both of the columns in which they were played. A [star] nest on a sideways bird can count as different nest types in the two columns in which it was played. 	https://www.boardgamegeek.com/thread/2519302/article/36010930#36010930
20201116a	End of Round Reference		When playing with the Oceania Expansion, follow the order of steps on the (Oceania Expansion) End of Round Reference, not the order given in the Oceania Expansion rulebook.	https://www.boardgamegeek.com/thread/2542100/article/36292121#36292121
20201116a	Game end		When playing with the Oceania Expansion, follow the order of steps on the (Oceania Expansion) End of Round Reference, not the order given in the Oceania Expansion rulebook.	https://www.boardgamegeek.com/thread/2542100/article/36292121#36292121
20201116b		Superb Lyrebird	If you use this bird's power to copy the power of a bird that lets it move to another habitat---and this bird satisfies applicable conditions, e.g., being the rightmost bird in its habitat---this bird may move to that habitat, even one in which in cannot be played.	https://www.facebook.com/groups/wingspanboardgame/permalink/677258919644380/?comment_id=677284199641852&reply_comment_id=677287326308206
20201116b		Tūī	If you use this bird's power to copy the power of a bird that lets it move to another habitat---and this bird satisfies applicable conditions, e.g., being the rightmost bird in its habitat---this bird may move to that habitat, even one in which in cannot be played.	https://www.facebook.com/groups/wingspanboardgame/permalink/677258919644380/?comment_id=677284199641852&reply_comment_id=677287326308206
20201117	Discard		``Discarding'' counts as ``spending''.	https://www.discord.com/channels/608588053052653580/693358238439047229/778341560205967380
20201204		Forest Data Analyst	This bonus card only awards points for a single sequence of bird cards of increasing or decreasing wingspan.	https://www.facebook.com/groups/wingspanboardgame/permalink/689086175128321/?comment_id=689111498459122
20201204		Grassland Data Analyst	This bonus card only awards points for a single sequence of bird cards of increasing or decreasing wingspan.	https://www.facebook.com/groups/wingspanboardgame/permalink/689086175128321/?comment_id=689111498459122
20201204		Wetland Data Analyst	This bonus card only awards points for a single sequence of bird cards of increasing or decreasing wingspan.	https://www.facebook.com/groups/wingspanboardgame/permalink/689086175128321/?comment_id=689111498459122
20201211	Ability		``Ability'' is a synonym of ``power''.	https://www.boardgamegeek.com/thread/2558020/article/36492150#36492150
